#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 2.5 days
    2.1047500000E+03    1.5538198853E+02    4.5736134276E-03    3.4918040681E-10    6.1831439972E+01    1.5537742615E+02    2.2694664001E+00    3.1429883839E-15    1.5385769612E-01
    2.1170000000E+03    2.3078318787E+02    4.5736134276E-03    3.5533079257E-10    5.2774147034E+01    2.3077861023E+02    3.5379085541E+00    3.1429883839E-15    1.5385769612E-01
    2.1292500000E+03    2.0759272766E+02    4.5736134276E-03    3.6155298200E-10    2.4005476074E+03    2.0758816528E+02    3.3377487659E+00    3.1429883839E-15    1.5385769612E-01
    2.1415000000E+03    4.4161898804E+02    4.5736134276E-03    3.6784736368E-10    3.5650708008E+02    4.4161437988E+02    7.4419188499E+00    3.1429883839E-15    1.5385769612E-01
    2.1537500000E+03    2.3326628113E+02    4.5736134276E-03    3.7421435395E-10    1.1007907867E+02    2.3326171875E+02    4.1169171333E+00    3.1429883839E-15    1.5385769612E-01
    2.1660000000E+03    1.8811376953E+02    4.5736134276E-03    3.8065442465E-10    9.0905603027E+02    1.8810920715E+02    3.4747822285E+00    3.1429883839E-15    1.5385769612E-01
    2.1782500000E+03    1.6632743835E+02    4.5736134276E-03    3.8716796436E-10    9.6610974121E+02    1.6632286072E+02    3.2134070396E+00    3.1429883839E-15    1.5385769612E-01
    2.1905000000E+03    1.9719474792E+02    4.5736134276E-03    3.9375533389E-10    4.1775238037E+02    1.9719018555E+02    3.9820613861E+00    3.1429883839E-15    1.5385769612E-01
    2.2027500000E+03    1.7530360413E+02    4.5736134276E-03    4.0041703286E-10    6.4394989014E+02    1.7529902649E+02    3.6976764202E+00    3.1429883839E-15    1.5385769612E-01
    2.2150000000E+03    1.6792448425E+02    4.5736134276E-03    4.0715344984E-10    1.7541636963E+03    1.6791990662E+02    3.6974408627E+00    3.1429883839E-15    1.5385769612E-01
    2.2272500000E+03    2.6562698364E+02    4.5736134276E-03    4.1396497341E-10    3.8760256348E+03    2.6562240601E+02    6.1015653610E+00    3.1429883839E-15    1.5385769612E-01
    2.2395000000E+03    2.2503503418E+02    4.5736134276E-03    4.2085204766E-10    4.4033099365E+02    2.2503045654E+02    5.3892474174E+00    3.1429883839E-15    1.5385769612E-01
    2.2517500000E+03    2.1772023010E+02    4.5736134276E-03    4.2781508891E-10    1.0521946716E+02    2.1771565247E+02    5.4328055382E+00    3.1429883839E-15    1.5385769612E-01
    2.2640000000E+03    2.6086978149E+02    4.5736134276E-03    4.3485448575E-10    6.0690106201E+02    2.6086520386E+02    6.7786068916E+00    3.1429883839E-15    1.5385769612E-01
    2.2762500000E+03    2.5376187134E+02    4.5736134276E-03    4.4197068227E-10    8.3449475098E+02    2.5375729370E+02    6.8624496460E+00    3.1429883839E-15    1.5385769612E-01
    2.2885000000E+03    2.4602664185E+02    4.5736134276E-03    4.4916406705E-10    7.2228863525E+02    2.4602207947E+02    6.9202551842E+00    3.1429883839E-15    1.5385769612E-01
    2.3007500000E+03    2.1611177063E+02    4.5736134276E-03    4.5643511193E-10    7.3752038574E+02    2.1610719299E+02    6.3191690445E+00    3.1429883839E-15    1.5385769612E-01
