Time 	 	 Temperature 	 	 Tau 
0.1 	 	 44882.8 	 	 	 117.72 
0.1 	 	 56617.7 	 	 	 168.641 
0.1 	 	 63625.7 	 	 	 485.483 
0.1 	 	 94063.2 	 	 	 3800.75 
0.1 	 	 169250 	 	 	 23544.4 
0.1 	 	 175601 	 	 	 21805.9 
0.1 	 	 129801 	 	 	 15675.8 
0.1 	 	 74393.6 	 	 	 1011.53 
0.1 	 	 141629 	 	 	 24752.4 
0.1 	 	 47241.3 	 	 	 206.798 
0.1 	 	 128696 	 	 	 10306.1 
0.1 	 	 221946 	 	 	 109511 
0.1 	 	 109435 	 	 	 5434.86 
0.1 	 	 130941 	 	 	 11628.2 
0.1 	 	 51958.7 	 	 	 165.367 
0.1 	 	 78759.6 	 	 	 835.644 
0.1 	 	 196399 	 	 	 91712.4 
0.1 	 	 45160.2 	 	 	 145.574 
0.1 	 	 179125 	 	 	 61768.4 
0.1 	 	 57959.5 	 	 	 377.449 
0.1 	 	 141629 	 	 	 11541.7 
0.1 	 	 127625 	 	 	 12230.4 
0.1 	 	 64815.7 	 	 	 415.986 
0.1 	 	 123645 	 	 	 10323.1 
0.1 	 	 201782 	 	 	 57915.5 
0.1 	 	 45396.3 	 	 	 226.612 
0.1 	 	 187036 	 	 	 49367.9 
0.1 	 	 52037.1 	 	 	 385.332 
0.1 	 	 55988 	 	 	 382.065 
0.1 	 	 53483.8 	 	 	 156.767 
0.1 	 	 55089.7 	 	 	 46.7055 
0.1 	 	 196399 	 	 	 74973.9 
0.1 	 	 42191.7 	 	 	 142.819 
0.1 	 	 57727.7 	 	 	 641.394 
0.1 	 	 207748 	 	 	 62848.9 
0.1 	 	 37205.7 	 	 	 83.1101 
0.1 	 	 52845.9 	 	 	 218.636 
0.1 	 	 95118.1 	 	 	 2500.25 
0.1 	 	 43360 	 	 	 113.497 
0.1 	 	 38968.2 	 	 	 54.3587 
0.1 	 	 56779.2 	 	 	 89.9137 
0.1 	 	 111937 	 	 	 6004.54 
0.1 	 	 140114 	 	 	 22590.7 
0.1 	 	 103481 	 	 	 4776.03 
0.1 	 	 207748 	 	 	 97112.4 
0.1 	 	 99821 	 	 	 3729.83 
0.1 	 	 148354 	 	 	 30951.2 
0.1 	 	 49891 	 	 	 139.027 
0.1 	 	 70801.3 	 	 	 1279.08 
0.1 	 	 39921.5 	 	 	 102.02 
0.1 	 	 187036 	 	 	 72437.5 
0.1 	 	 207748 	 	 	 60824.3 
0.1 	 	 90832.5 	 	 	 2722.49 
0.1 	 	 49169.5 	 	 	 255.385 
0.1 	 	 69508.4 	 	 	 1363.82 
0.1 	 	 63543.7 	 	 	 827.545 
0.1 	 	 47718.8 	 	 	 305.957 
0.1 	 	 70680.1 	 	 	 1123.26 
0.1 	 	 141629 	 	 	 24539 
0.1 	 	 108258 	 	 	 7712.86 
0.1 	 	 123645 	 	 	 14240 
0.1 	 	 49394.9 	 	 	 364.445 
0.1 	 	 126586 	 	 	 11476.7 
0.1 	 	 201782 	 	 	 105871 
0.1 	 	 68191.9 	 	 	 1104.83 
0.1 	 	 91758.8 	 	 	 3192.31 
0.1 	 	 191508 	 	 	 73011.1 
0.1 	 	 40392.7 	 	 	 75.5939 
0.1 	 	 106577 	 	 	 5910.48 
0.1 	 	 102051 	 	 	 3265.78 
0.1 	 	 221946 	 	 	 109540 
0.1 	 	 230544 	 	 	 94387.7 
0.1 	 	 42694.4 	 	 	 146.307 
0.1 	 	 201782 	 	 	 92939.7 
0.1 	 	 179125 	 	 	 64908.3 
0.1 	 	 110660 	 	 	 9506.02 
0.1 	 	 47776.1 	 	 	 137.541 
0.1 	 	 86919.9 	 	 	 2643.94 
0.1 	 	 90832.5 	 	 	 3030.22 
0.1 	 	 40284.5 	 	 	 115.75 
0.1 	 	 115383 	 	 	 8223.9 
0.1 	 	 56617.7 	 	 	 441.578 
0.1 	 	 74248.3 	 	 	 1086.04 
0.1 	 	 110660 	 	 	 6514.11 
0.1 	 	 80247.2 	 	 	 87.6142 
0.1 	 	 94063.2 	 	 	 5011.4 
0.1 	 	 71418.9 	 	 	 1581.64 
0.1 	 	 37809.2 	 	 	 70.5553 
0.1 	 	 92720.8 	 	 	 3353.41 
0.1 	 	 54380 	 	 	 316.073 
0.1 	 	 214418 	 	 	 121074 
0.1 	 	 49591.1 	 	 	 275.006 
0.1 	 	 38819.5 	 	 	 43.7055 
0.1 	 	 221946 	 	 	 147157 
0.1 	 	 88245.7 	 	 	 1865.91 
0.1 	 	 44701.3 	 	 	 118.622 
0.1 	 	 58313.6 	 	 	 240.095 
0.1 	 	 110660 	 	 	 6642.22 
0.1 	 	 86663.4 	 	 	 3607.74 
0.1 	 	 61906.8 	 	 	 543.257 
0.1 	 	 116875 	 	 	 8497.2 
0.1 	 	 140114 	 	 	 24161.7 
0.1 	 	 115383 	 	 	 11022.9 
0.1 	 	 120940 	 	 	 9941.05 
0.1 	 	 99821 	 	 	 6250.36 
0.1 	 	 91758.8 	 	 	 2662.96 
0.1 	 	 106577 	 	 	 5723.69 
0.1 	 	 75906 	 	 	 1222.79 
0.1 	 	 42790 	 	 	 74.0901 
0.1 	 	 50904.5 	 	 	 401.75 
0.1 	 	 121818 	 	 	 9386.15 
0.1 	 	 191508 	 	 	 61603.2 
0.1 	 	 143205 	 	 	 17143.9 
0.1 	 	 138657 	 	 	 15608.8 
0.1 	 	 64467.4 	 	 	 598.26 
0.1 	 	 55432.7 	 	 	 304.998 
0.1 	 	 191508 	 	 	 85817 
0.1 	 	 62282.6 	 	 	 595.128 
0.1 	 	 62206.7 	 	 	 651.134 
0.1 	 	 41349 	 	 	 158.678 
0.1 	 	 113958 	 	 	 7183.47 
0.1 	 	 95846.2 	 	 	 2083.34 
0.1 	 	 63462.1 	 	 	 1034.74 
0.1 	 	 158705 	 	 	 24356.6 
0.1 	 	 221946 	 	 	 92356.4 
0.1 	 	 105507 	 	 	 5720.62 
0.1 	 	 126586 	 	 	 10763.8 
0.1 	 	 66863.5 	 	 	 855.272 
0.1 	 	 91137.5 	 	 	 2120.95 
0.1 	 	 84012.8 	 	 	 1828.75 
0.1 	 	 108841 	 	 	 5482.31 
0.1 	 	 148354 	 	 	 21235.8 
0.1 	 	 103481 	 	 	 5288.03 
0.1 	 	 94063.2 	 	 	 2046.07 
0.1 	 	 70440 	 	 	 1034.23 
0.1 	 	 106577 	 	 	 8184.02 
0.1 	 	 52037.1 	 	 	 271.421 
0.1 	 	 74248.3 	 	 	 1394.76 
0.1 	 	 150228 	 	 	 30712.5 
0.1 	 	 201782 	 	 	 71911.2 
0.1 	 	 74393.6 	 	 	 1113.31 
0.1 	 	 201782 	 	 	 96893.4 
0.1 	 	 59879.8 	 	 	 539.137 
0.1 	 	 172318 	 	 	 45834 
0.1 	 	 37228.7 	 	 	 60.1796 
0.1 	 	 120940 	 	 	 11675.8 
0.1 	 	 166372 	 	 	 33360.8 
0.1 	 	 62901.5 	 	 	 587.696 
0.1 	 	 127625 	 	 	 9581.92 
0.1 	 	 152192 	 	 	 18915.4 
0.1 	 	 112596 	 	 	 4026.93 
0.1 	 	 120085 	 	 	 6199.41 
0.1 	 	 230544 	 	 	 70835.1 
0.1 	 	 110660 	 	 	 4990.08 
0.1 	 	 55041.3 	 	 	 577.156 
0.1 	 	 68729.3 	 	 	 1185.04 
0.1 	 	 54566 	 	 	 332.293 
0.1 	 	 107687 	 	 	 7846.13 
0.1 	 	 154253 	 	 	 16873.4 
0.1 	 	 221946 	 	 	 97841.9 
0.1 	 	 161116 	 	 	 30995.1 
0.1 	 	 50796.1 	 	 	 275.861 
0.1 	 	 78580.8 	 	 	 1646.1 
0.1 	 	 95846.2 	 	 	 4861.49 
0.1 	 	 84472.8 	 	 	 2067.97 
0.1 	 	 201782 	 	 	 105387 
0.1 	 	 135902 	 	 	 5576.07 
0.1 	 	 72056.8 	 	 	 1269.42 
0.1 	 	 152192 	 	 	 34346.9 
